state,specialty,facility_count,total_facilities_state,coverage_ratio,desert_severity,action
Andhra Pradesh,oncology,0,3,0.0,95,CRITICAL: Andhra Pradesh has only 0 verified oncology facilities out of 3 total.
Andhra Pradesh,dialysis,0,3,0.0,95,CRITICAL: Andhra Pradesh has only 0 verified dialysis facilities out of 3 total.
Andhra Pradesh,neonatal_icu,0,3,0.0,95,CRITICAL: Andhra Pradesh has only 0 verified neonatal_icu facilities out of 3 total.
Andhra Pradesh,emergency_trauma,0,3,0.0,95,CRITICAL: Andhra Pradesh has only 0 verified emergency_trauma facilities out of 3 total.
Andhra Pradesh,mental_health,0,3,0.0,95,CRITICAL: Andhra Pradesh has only 0 verified mental_health facilities out of 3 total.
Bihar,oncology,0,4,0.0,95,CRITICAL: Bihar has only 0 verified oncology facilities out of 4 total.
Bihar,neonatal_icu,0,4,0.0,95,CRITICAL: Bihar has only 0 verified neonatal_icu facilities out of 4 total.
Bihar,dialysis,0,4,0.0,95,CRITICAL: Bihar has only 0 verified dialysis facilities out of 4 total.
Bihar,obstetrics,0,4,0.0,95,CRITICAL: Bihar has only 0 verified obstetrics facilities out of 4 total.
Bihar,mental_health,0,4,0.0,95,CRITICAL: Bihar has only 0 verified mental_health facilities out of 4 total.
West Bengal,neonatal_icu,0,3,0.0,95,CRITICAL: West Bengal has only 0 verified neonatal_icu facilities out of 3 total.
Telangana,neonatal_icu,0,4,0.0,95,CRITICAL: Telangana has only 0 verified neonatal_icu facilities out of 4 total.
Delhi,oncology,0,7,0.0,95,CRITICAL: Delhi has only 0 verified oncology facilities out of 7 total.
Delhi,dialysis,0,7,0.0,95,CRITICAL: Delhi has only 0 verified dialysis facilities out of 7 total.
Delhi,neonatal_icu,0,7,0.0,95,CRITICAL: Delhi has only 0 verified neonatal_icu facilities out of 7 total.
Delhi,mental_health,0,7,0.0,95,CRITICAL: Delhi has only 0 verified mental_health facilities out of 7 total.
Gujarat,neonatal_icu,0,10,0.0,95,CRITICAL: Gujarat has only 0 verified neonatal_icu facilities out of 10 total.
Gujarat,dialysis,0,10,0.0,95,CRITICAL: Gujarat has only 0 verified dialysis facilities out of 10 total.
Haryana,dialysis,0,6,0.0,95,CRITICAL: Haryana has only 0 verified dialysis facilities out of 6 total.
Gujarat,mental_health,0,10,0.0,95,CRITICAL: Gujarat has only 0 verified mental_health facilities out of 10 total.
Gujarat,obstetrics,0,10,0.0,95,CRITICAL: Gujarat has only 0 verified obstetrics facilities out of 10 total.
Himachal Pradesh,neonatal_icu,0,1,0.0,95,CRITICAL: Himachal Pradesh has only 0 verified neonatal_icu facilities out of 1 total.
Himachal Pradesh,oncology,0,1,0.0,95,CRITICAL: Himachal Pradesh has only 0 verified oncology facilities out of 1 total.
Himachal Pradesh,dialysis,0,1,0.0,95,CRITICAL: Himachal Pradesh has only 0 verified dialysis facilities out of 1 total.
Haryana,obstetrics,0,6,0.0,95,CRITICAL: Haryana has only 0 verified obstetrics facilities out of 6 total.
Haryana,neonatal_icu,0,6,0.0,95,CRITICAL: Haryana has only 0 verified neonatal_icu facilities out of 6 total.
Hooghly,neonatal_icu,0,1,0.0,95,CRITICAL: Hooghly has only 0 verified neonatal_icu facilities out of 1 total.
Hooghly,emergency_trauma,0,1,0.0,95,CRITICAL: Hooghly has only 0 verified emergency_trauma facilities out of 1 total.
Hooghly,oncology,0,1,0.0,95,CRITICAL: Hooghly has only 0 verified oncology facilities out of 1 total.
Hooghly,dialysis,0,1,0.0,95,CRITICAL: Hooghly has only 0 verified dialysis facilities out of 1 total.
Hooghly,mental_health,0,1,0.0,95,CRITICAL: Hooghly has only 0 verified mental_health facilities out of 1 total.
Himachal Pradesh,emergency_trauma,0,1,0.0,95,CRITICAL: Himachal Pradesh has only 0 verified emergency_trauma facilities out of 1 total.
Himachal Pradesh,obstetrics,0,1,0.0,95,CRITICAL: Himachal Pradesh has only 0 verified obstetrics facilities out of 1 total.
Himachal Pradesh,mental_health,0,1,0.0,95,CRITICAL: Himachal Pradesh has only 0 verified mental_health facilities out of 1 total.
Hooghly,obstetrics,0,1,0.0,95,CRITICAL: Hooghly has only 0 verified obstetrics facilities out of 1 total.
Jharkhand,dialysis,0,3,0.0,95,CRITICAL: Jharkhand has only 0 verified dialysis facilities out of 3 total.
Jammu & Kashmir,obstetrics,0,1,0.0,95,CRITICAL: Jammu & Kashmir has only 0 verified obstetrics facilities out of 1 total.
Jharkhand,oncology,0,3,0.0,95,CRITICAL: Jharkhand has only 0 verified oncology facilities out of 3 total.
Jammu & Kashmir,mental_health,0,1,0.0,95,CRITICAL: Jammu & Kashmir has only 0 verified mental_health facilities out of 1 total.
Jammu & Kashmir,neonatal_icu,0,1,0.0,95,CRITICAL: Jammu & Kashmir has only 0 verified neonatal_icu facilities out of 1 total.
Jammu & Kashmir,dialysis,0,1,0.0,95,CRITICAL: Jammu & Kashmir has only 0 verified dialysis facilities out of 1 total.
Jammu & Kashmir,oncology,0,1,0.0,95,CRITICAL: Jammu & Kashmir has only 0 verified oncology facilities out of 1 total.
Madhya Pradesh,oncology,0,2,0.0,95,CRITICAL: Madhya Pradesh has only 0 verified oncology facilities out of 2 total.
Kochi,obstetrics,0,1,0.0,95,CRITICAL: Kochi has only 0 verified obstetrics facilities out of 1 total.
Kerala,dialysis,0,5,0.0,95,CRITICAL: Kerala has only 0 verified dialysis facilities out of 5 total.
Kerala,neonatal_icu,0,5,0.0,95,CRITICAL: Kerala has only 0 verified neonatal_icu facilities out of 5 total.
Kochi,mental_health,0,1,0.0,95,CRITICAL: Kochi has only 0 verified mental_health facilities out of 1 total.
Kochi,neonatal_icu,0,1,0.0,95,CRITICAL: Kochi has only 0 verified neonatal_icu facilities out of 1 total.
Kochi,dialysis,0,1,0.0,95,CRITICAL: Kochi has only 0 verified dialysis facilities out of 1 total.
Jharkhand,neonatal_icu,0,3,0.0,95,CRITICAL: Jharkhand has only 0 verified neonatal_icu facilities out of 3 total.
Karnataka,neonatal_icu,0,3,0.0,95,CRITICAL: Karnataka has only 0 verified neonatal_icu facilities out of 3 total.
Jharkhand,mental_health,0,3,0.0,95,CRITICAL: Jharkhand has only 0 verified mental_health facilities out of 3 total.
Jharkhand,obstetrics,0,3,0.0,95,CRITICAL: Jharkhand has only 0 verified obstetrics facilities out of 3 total.
Karnataka,oncology,0,3,0.0,95,CRITICAL: Karnataka has only 0 verified oncology facilities out of 3 total.
Karnataka,emergency_trauma,0,3,0.0,95,CRITICAL: Karnataka has only 0 verified emergency_trauma facilities out of 3 total.
Karnataka,dialysis,0,3,0.0,95,CRITICAL: Karnataka has only 0 verified dialysis facilities out of 3 total.
Karnataka,obstetrics,0,3,0.0,95,CRITICAL: Karnataka has only 0 verified obstetrics facilities out of 3 total.
Karnataka,mental_health,0,3,0.0,95,CRITICAL: Karnataka has only 0 verified mental_health facilities out of 3 total.
Madhya Pradesh,dialysis,0,2,0.0,95,CRITICAL: Madhya Pradesh has only 0 verified dialysis facilities out of 2 total.
Kochi,oncology,0,1,0.0,95,CRITICAL: Kochi has only 0 verified oncology facilities out of 1 total.
Odisha,emergency_trauma,0,1,0.0,95,CRITICAL: Odisha has only 0 verified emergency_trauma facilities out of 1 total.
Odisha,neonatal_icu,0,1,0.0,95,CRITICAL: Odisha has only 0 verified neonatal_icu facilities out of 1 total.
Odisha,dialysis,0,1,0.0,95,CRITICAL: Odisha has only 0 verified dialysis facilities out of 1 total.
Odisha,oncology,0,1,0.0,95,CRITICAL: Odisha has only 0 verified oncology facilities out of 1 total.
Maharashtra,obstetrics,0,9,0.0,95,CRITICAL: Maharashtra has only 0 verified obstetrics facilities out of 9 total.
Maharashtra,mental_health,0,9,0.0,95,CRITICAL: Maharashtra has only 0 verified mental_health facilities out of 9 total.
Maharashtra,emergency_trauma,0,9,0.0,95,CRITICAL: Maharashtra has only 0 verified emergency_trauma facilities out of 9 total.
Maharashtra,neonatal_icu,0,9,0.0,95,CRITICAL: Maharashtra has only 0 verified neonatal_icu facilities out of 9 total.
Maharashtra,dialysis,0,9,0.0,95,CRITICAL: Maharashtra has only 0 verified dialysis facilities out of 9 total.
Maharashtra,oncology,0,9,0.0,95,CRITICAL: Maharashtra has only 0 verified oncology facilities out of 9 total.
Madhya Pradesh,obstetrics,0,2,0.0,95,CRITICAL: Madhya Pradesh has only 0 verified obstetrics facilities out of 2 total.
Madhya Pradesh,mental_health,0,2,0.0,95,CRITICAL: Madhya Pradesh has only 0 verified mental_health facilities out of 2 total.
Madhya Pradesh,emergency_trauma,0,2,0.0,95,CRITICAL: Madhya Pradesh has only 0 verified emergency_trauma facilities out of 2 total.
Madhya Pradesh,neonatal_icu,0,2,0.0,95,CRITICAL: Madhya Pradesh has only 0 verified neonatal_icu facilities out of 2 total.
Uttarakhand,mental_health,0,1,0.0,95,CRITICAL: Uttarakhand has only 0 verified mental_health facilities out of 1 total.
West Bengal,emergency_trauma,0,3,0.0,95,CRITICAL: West Bengal has only 0 verified emergency_trauma facilities out of 3 total.
Telangana,mental_health,0,4,0.0,95,CRITICAL: Telangana has only 0 verified mental_health facilities out of 4 total.
Thane,mental_health,0,1,0.0,95,CRITICAL: Thane has only 0 verified mental_health facilities out of 1 total.
